timestamp_open,timestamp_close,duration_sec,symbol,side,entry_price,exit_price,qty,notional_entry,pnl_usdt,pnl_pct,result,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,funding_rate,exit_reason,strategy_id
1778345750.7160242,1778345980.2616456,229.54562139511108,NILUSDT,long,0.06546218,0.0655,560081.0,36664.1232,-8.5541,-0.0233,LOSS,0.6696,0.65-0.70,0.5901,-3.6e-05,chop,3,0.0,0.00241286,1.53,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345875.415045,1778345980.5607355,105.14569044113159,HUSDT,long,0.20608,0.20623,48560.0,10007.2448,-3.727975,-0.0373,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00082432,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345959.955915,1778345980.988098,21.032182931900024,NILUSDT,long,0.06546218,0.0655,560081.0,36664.1232,-8.5541,-0.0233,LOSS,0.6696,0.65-0.70,0.5989,6.8e-05,chop,3,0.0,0.00241286,1.53,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345885.277535,1778345981.3429935,96.06545853614807,HUSDT,long,0.20608,0.20623,48560.0,10007.2448,-3.727975,-0.0373,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00082432,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345954.8573613,1778345990.5300217,35.67266035079956,TONUSDT,long,2.42445002,2.4215,8249.8,20001.2278,-13.748515,-0.0687,LOSS,0.8047,0.75+,0.7345,0.000924,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345958.8370543,1778345991.450376,32.61332178115845,TONUSDT,long,2.42445002,2.4215,8249.8,20001.2278,-13.748515,-0.0687,LOSS,0.8047,0.75+,0.7301,0.002562,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345997.033414,1778346045.0334544,48.00004053115845,NILUSDT,long,0.0655,0.06561,305342.0,19999.901,11.569256,0.0578,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.000262,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345995.0216892,1778346046.563446,51.54175686836243,NILUSDT,long,0.0655,0.06561,305342.0,19999.901,11.569256,0.0578,WIN,0.6696,0.65-0.70,0.611,0.000172,chop,3,0.0,0.00241286,1.53,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345994.9908192,1778346046.8533118,51.86249256134033,NILUSDT,long,0.0655,0.06561,305342.0,19999.901,11.569256,0.0578,WIN,0.6696,0.65-0.70,0.611,0.000172,chop,3,0.0,0.00241286,1.53,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346003.2381196,1778346049.1204302,45.88231062889099,NILUSDT,long,0.0655,0.06561,305342.0,19999.901,11.569256,0.0578,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.000262,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
